city_id,state,city,latitude,longitude,region,logistics_tier,demand_weight,warehouse_candidate
C00001,Andaman and Nicobar Islands,Bamboo Flat,11.7,92.71667,East,Tier 3,0.2,False
C00002,Andaman and Nicobar Islands,Nicobar,7.03002,93.79028,East,Tier 3,0.2,False
C00003,Andaman and Nicobar Islands,Port Blair,11.66613,92.74635,East,Tier 3,0.2,False
C00004,Andaman and Nicobar Islands,South Andaman,10.75776,92.52136,East,Tier 3,0.2,False
C00005,Andhra Pradesh,Addanki,15.81061,79.97338,South,Tier 3,0.2,False
C00006,Andhra Pradesh,Adoni,15.62788,77.27495,South,Tier 3,0.2,False
C00007,Andhra Pradesh,Akasahebpet,17.50455,82.56597,South,Tier 3,0.2,False
C00008,Andhra Pradesh,Akividu,16.58225,81.38112,South,Tier 3,0.2,False
C00009,Andhra Pradesh,Akkarampalle,13.65,79.42,South,Tier 3,0.2,False
C00010,Andhra Pradesh,Amalapuram,16.57868,82.00609,South,Tier 3,0.2,False
C00011,Andhra Pradesh,Amudalavalasa,18.41025,83.90295,South,Tier 3,0.2,False
C00012,Andhra Pradesh,Anakapalle,17.69134,83.00395,South,Tier 3,0.2,False
C00013,Andhra Pradesh,Anantapur,14.55,77.41667,South,Tier 3,0.2,False
C00014,Andhra Pradesh,Atmakur,15.88109,78.58704,South,Tier 3,0.2,False
C00015,Andhra Pradesh,Attili,16.7,81.6,South,Tier 3,0.2,False
C00016,Andhra Pradesh,Avanigadda,16.02148,80.91808,South,Tier 3,0.2,False
C00017,Andhra Pradesh,Badvel,14.7451,79.06288,South,Tier 3,0.2,False
C00018,Andhra Pradesh,Banganapalle,15.31771,78.22669,South,Tier 3,0.2,False
C00019,Andhra Pradesh,Bapatla,15.90422,80.46743,South,Tier 3,0.2,False
C00020,Andhra Pradesh,Betamcherla,15.45144,78.14797,South,Tier 3,0.2,False
C00021,Andhra Pradesh,Bhattiprolu,16.1026,80.78074,South,Tier 3,0.2,False
C00022,Andhra Pradesh,Bhimavaram,16.54078,81.52322,South,Tier 3,0.2,False
C00023,Andhra Pradesh,Bhimunipatnam,17.89017,83.45203,South,Tier 3,0.2,False
C00024,Andhra Pradesh,Bobbili,18.57366,83.35925,South,Tier 3,0.2,False
C00025,Andhra Pradesh,Challapalle,16.11756,80.93139,South,Tier 3,0.2,False
C00026,Andhra Pradesh,Chemmumiahpet,15.89794,79.32129,South,Tier 3,0.2,False
C00027,Andhra Pradesh,Chilakalurupet,16.08987,80.16705,South,Tier 3,0.2,False
C00028,Andhra Pradesh,Chinnachowk,14.47516,78.8354,South,Tier 3,0.2,False
C00029,Andhra Pradesh,Chipurupalle,18.31142,83.56846,South,Tier 3,0.2,False
C00030,Andhra Pradesh,Chirala,15.82385,80.35219,South,Tier 3,0.2,False
C00031,Andhra Pradesh,Chittoor,13.41667,79.0,South,Tier 3,0.2,False
C00032,Andhra Pradesh,Chodavaram,17.82884,82.93526,South,Tier 3,0.2,False
C00033,Andhra Pradesh,Cuddapah,14.41667,78.75,South,Tier 3,0.2,False
C00034,Andhra Pradesh,Cumbum,15.58171,79.11059,South,Tier 3,0.2,False
C00035,Andhra Pradesh,Darsi,15.76978,79.67939,South,Tier 3,0.2,False
C00036,Andhra Pradesh,Dharmavaram,14.41435,77.72035,South,Tier 3,0.2,False
C00037,Andhra Pradesh,Dhone,15.3952,77.8715,South,Tier 3,0.2,False
C00038,Andhra Pradesh,Diguvametta,15.39507,78.8293,South,Tier 3,0.2,False
C00039,Andhra Pradesh,East Godavari,17.83333,81.83333,South,Tier 3,0.2,False
C00040,Andhra Pradesh,Elamanchili,17.54907,82.85749,South,Tier 3,0.2,False
C00041,Andhra Pradesh,Ellore,16.71311,81.10437,South,Tier 3,0.2,False
C00042,Andhra Pradesh,Emmiganur,15.77203,77.48345,South,Tier 3,0.2,False
C00043,Andhra Pradesh,Erraguntla,14.63853,78.53974,South,Tier 3,0.2,False
C00044,Andhra Pradesh,Etikoppaka,17.5,82.73333,South,Tier 3,0.2,False
C00045,Andhra Pradesh,Gajuwaka,17.7,83.21667,South,Tier 3,0.2,False
C00046,Andhra Pradesh,Ganguvada,18.66667,84.11667,South,Tier 3,0.2,False
C00047,Andhra Pradesh,Gannavaram,16.54092,80.80213,South,Tier 3,0.2,False
C00048,Andhra Pradesh,Giddalur,15.37439,78.92609,South,Tier 3,0.2,False
C00049,Andhra Pradesh,Gokavaram,17.25823,81.84985,South,Tier 3,0.2,False
C00050,Andhra Pradesh,Gorantla,13.98411,77.77224,South,Tier 3,0.2,False
C00051,Andhra Pradesh,"Govindapuram,Chilakaluripet,Guntur",16.15477,80.10279,South,Tier 3,0.2,False
C00052,Andhra Pradesh,Gudivada,16.43547,80.99555,South,Tier 3,0.2,False
C00053,Andhra Pradesh,Gudlavalleru,16.35,81.05,South,Tier 3,0.2,False
C00054,Andhra Pradesh,Gudur,14.15093,79.8521,South,Tier 3,0.2,False
C00055,Andhra Pradesh,Guntakal Junction,15.17112,77.36244,South,Tier 3,0.2,False
C00056,Andhra Pradesh,Guntur,16.29974,80.45729,South,Tier 3,0.2,False
C00057,Andhra Pradesh,Hindupur,13.82807,77.49143,South,Tier 3,0.2,False
C00058,Andhra Pradesh,Ichchapuram,19.11393,84.68721,South,Tier 3,0.2,False
C00059,Andhra Pradesh,Jaggayyapeta,16.8938,80.09807,South,Tier 3,0.2,False
C00060,Andhra Pradesh,Jammalamadugu,14.84677,78.38314,South,Tier 3,0.2,False
C00061,Andhra Pradesh,Kadiri,14.11168,78.15982,South,Tier 3,0.2,False
C00062,Andhra Pradesh,Kaikalur,16.55154,81.214,South,Tier 3,0.2,False
C00063,Andhra Pradesh,Kakinada,16.96036,82.23809,South,Tier 3,0.2,False
C00064,Andhra Pradesh,Kalyandurg,14.54519,77.10552,South,Tier 3,0.2,False
C00065,Andhra Pradesh,Kamalapuram,14.5983,78.66948,South,Tier 3,0.2,False
C00066,Andhra Pradesh,Kandukur,15.21542,79.9039,South,Tier 3,0.2,False
C00067,Andhra Pradesh,Kanigiri,15.40555,79.50694,South,Tier 3,0.2,False
C00068,Andhra Pradesh,Kankipadu,16.4353,80.76715,South,Tier 3,0.2,False
C00069,Andhra Pradesh,Kanuru,16.28584,81.25464,South,Tier 3,0.2,False
C00070,Andhra Pradesh,Kavali,14.9163,79.99449,South,Tier 3,0.2,False
C00071,Andhra Pradesh,Kolanukonda,16.45392,80.61046,South,Tier 3,0.2,False
