city_id,city,state,region,default_warehouse,backup_warehouse,latitude,longitude
C00001,bamboo flat,Andaman and Nicobar Islands,East,Kolkata,Nagpur,11.7,92.71667
C00002,nicobar,Andaman and Nicobar Islands,East,Kolkata,Nagpur,7.03002,93.79028
C00003,port blair,Andaman and Nicobar Islands,East,Kolkata,Nagpur,11.66613,92.74635
C00004,south andaman,Andaman and Nicobar Islands,East,Kolkata,Nagpur,10.75776,92.52136
C00005,addanki,Andhra Pradesh,South,Hyderabad,Nagpur,15.81061,79.97338
C00006,adoni,Andhra Pradesh,South,Hyderabad,Nagpur,15.62788,77.27495
C00007,akasahebpet,Andhra Pradesh,South,Hyderabad,Nagpur,17.50455,82.56597
C00008,akividu,Andhra Pradesh,South,Hyderabad,Nagpur,16.58225,81.38112
C00009,akkarampalle,Andhra Pradesh,South,Hyderabad,Nagpur,13.65,79.42
C00010,amalapuram,Andhra Pradesh,South,Hyderabad,Nagpur,16.57868,82.00609
C00011,amudalavalasa,Andhra Pradesh,South,Hyderabad,Nagpur,18.41025,83.90295
C00012,anakapalle,Andhra Pradesh,South,Hyderabad,Nagpur,17.69134,83.00395
C00013,anantapur,Andhra Pradesh,South,Hyderabad,Nagpur,14.55,77.41667
C00014,atmakur,Andhra Pradesh,South,Hyderabad,Nagpur,15.88109,78.58704
C00015,attili,Andhra Pradesh,South,Hyderabad,Nagpur,16.7,81.6
C00016,avanigadda,Andhra Pradesh,South,Hyderabad,Nagpur,16.02148,80.91808
C00017,badvel,Andhra Pradesh,South,Hyderabad,Nagpur,14.7451,79.06288
C00018,banganapalle,Andhra Pradesh,South,Hyderabad,Nagpur,15.31771,78.22669
C00019,bapatla,Andhra Pradesh,South,Hyderabad,Nagpur,15.90422,80.46743
C00020,betamcherla,Andhra Pradesh,South,Hyderabad,Nagpur,15.45144,78.14797
C00021,bhattiprolu,Andhra Pradesh,South,Hyderabad,Nagpur,16.1026,80.78074
C00022,bhimavaram,Andhra Pradesh,South,Hyderabad,Nagpur,16.54078,81.52322
C00023,bhimunipatnam,Andhra Pradesh,South,Hyderabad,Nagpur,17.89017,83.45203
C00024,bobbili,Andhra Pradesh,South,Hyderabad,Nagpur,18.57366,83.35925
C00025,challapalle,Andhra Pradesh,South,Hyderabad,Nagpur,16.11756,80.93139
C00026,chemmumiahpet,Andhra Pradesh,South,Hyderabad,Nagpur,15.89794,79.32129
C00027,chilakalurupet,Andhra Pradesh,South,Hyderabad,Nagpur,16.08987,80.16705
C00028,chinnachowk,Andhra Pradesh,South,Hyderabad,Nagpur,14.47516,78.8354
C00029,chipurupalle,Andhra Pradesh,South,Hyderabad,Nagpur,18.31142,83.56846
C00030,chirala,Andhra Pradesh,South,Hyderabad,Nagpur,15.82385,80.35219
C00031,chittoor,Andhra Pradesh,South,Hyderabad,Nagpur,13.41667,79.0
C00032,chodavaram,Andhra Pradesh,South,Hyderabad,Nagpur,17.82884,82.93526
C00033,cuddapah,Andhra Pradesh,South,Hyderabad,Nagpur,14.41667,78.75
C00034,cumbum,Andhra Pradesh,South,Hyderabad,Nagpur,15.58171,79.11059
C00034,cumbum,Andhra Pradesh,South,Hyderabad,Nagpur,9.73647,77.2847
C00035,darsi,Andhra Pradesh,South,Hyderabad,Nagpur,15.76978,79.67939
C00036,dharmavaram,Andhra Pradesh,South,Hyderabad,Nagpur,14.41435,77.72035
C00037,dhone,Andhra Pradesh,South,Hyderabad,Nagpur,15.3952,77.8715
C00038,diguvametta,Andhra Pradesh,South,Hyderabad,Nagpur,15.39507,78.8293
C00039,east godavari,Andhra Pradesh,South,Hyderabad,Nagpur,17.83333,81.83333
C00040,elamanchili,Andhra Pradesh,South,Hyderabad,Nagpur,17.54907,82.85749
C00041,ellore,Andhra Pradesh,South,Hyderabad,Nagpur,16.71311,81.10437
C00042,emmiganur,Andhra Pradesh,South,Hyderabad,Nagpur,15.77203,77.48345
C00043,erraguntla,Andhra Pradesh,South,Hyderabad,Nagpur,14.63853,78.53974
C00044,etikoppaka,Andhra Pradesh,South,Hyderabad,Nagpur,17.5,82.73333
C00045,gajuwaka,Andhra Pradesh,South,Hyderabad,Nagpur,17.7,83.21667
C00046,ganguvada,Andhra Pradesh,South,Hyderabad,Nagpur,18.66667,84.11667
C00047,gannavaram,Andhra Pradesh,South,Hyderabad,Nagpur,16.54092,80.80213
C00048,giddalur,Andhra Pradesh,South,Hyderabad,Nagpur,15.37439,78.92609
C00049,gokavaram,Andhra Pradesh,South,Hyderabad,Nagpur,17.25823,81.84985
C00050,gorantla,Andhra Pradesh,South,Hyderabad,Nagpur,13.98411,77.77224
C00051,"govindapuram,chilakaluripet,guntur",Andhra Pradesh,South,Hyderabad,Nagpur,16.15477,80.10279
C00052,gudivada,Andhra Pradesh,South,Hyderabad,Nagpur,16.43547,80.99555
C00053,gudlavalleru,Andhra Pradesh,South,Hyderabad,Nagpur,16.35,81.05
C00054,gudur,Andhra Pradesh,South,Hyderabad,Nagpur,14.15093,79.8521
C00054,gudur,Andhra Pradesh,South,Hyderabad,Nagpur,17.49174,78.82302
C00055,guntakal junction,Andhra Pradesh,South,Hyderabad,Nagpur,15.17112,77.36244
C00056,guntur,Andhra Pradesh,South,Hyderabad,Nagpur,16.29974,80.45729
C00057,hindupur,Andhra Pradesh,South,Hyderabad,Nagpur,13.82807,77.49143
C00058,ichchapuram,Andhra Pradesh,South,Hyderabad,Nagpur,19.11393,84.68721
C00059,jaggayyapeta,Andhra Pradesh,South,Hyderabad,Nagpur,16.8938,80.09807
