city_id,city,state,region,default_warehouse,backup_warehouse
C00001,Bamboo Flat,Andaman and Nicobar Islands,East,Kolkata,Nagpur
C00002,Nicobar,Andaman and Nicobar Islands,East,Kolkata,Nagpur
C00003,Port Blair,Andaman and Nicobar Islands,East,Kolkata,Nagpur
C00004,South Andaman,Andaman and Nicobar Islands,East,Kolkata,Nagpur
C00005,Addanki,Andhra Pradesh,South,Hyderabad,Nagpur
C00006,Adoni,Andhra Pradesh,South,Hyderabad,Nagpur
C00007,Akasahebpet,Andhra Pradesh,South,Hyderabad,Nagpur
C00008,Akividu,Andhra Pradesh,South,Hyderabad,Nagpur
C00009,Akkarampalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00010,Amalapuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00011,Amudalavalasa,Andhra Pradesh,South,Hyderabad,Nagpur
C00012,Anakapalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00013,Anantapur,Andhra Pradesh,South,Hyderabad,Nagpur
C00014,Atmakur,Andhra Pradesh,South,Hyderabad,Nagpur
C00015,Attili,Andhra Pradesh,South,Hyderabad,Nagpur
C00016,Avanigadda,Andhra Pradesh,South,Hyderabad,Nagpur
C00017,Badvel,Andhra Pradesh,South,Hyderabad,Nagpur
C00018,Banganapalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00019,Bapatla,Andhra Pradesh,South,Hyderabad,Nagpur
C00020,Betamcherla,Andhra Pradesh,South,Hyderabad,Nagpur
C00021,Bhattiprolu,Andhra Pradesh,South,Hyderabad,Nagpur
C00022,Bhimavaram,Andhra Pradesh,South,Hyderabad,Nagpur
C00023,Bhimunipatnam,Andhra Pradesh,South,Hyderabad,Nagpur
C00024,Bobbili,Andhra Pradesh,South,Hyderabad,Nagpur
C00025,Challapalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00026,Chemmumiahpet,Andhra Pradesh,South,Hyderabad,Nagpur
C00027,Chilakalurupet,Andhra Pradesh,South,Hyderabad,Nagpur
C00028,Chinnachowk,Andhra Pradesh,South,Hyderabad,Nagpur
C00029,Chipurupalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00030,Chirala,Andhra Pradesh,South,Hyderabad,Nagpur
C00031,Chittoor,Andhra Pradesh,South,Hyderabad,Nagpur
C00032,Chodavaram,Andhra Pradesh,South,Hyderabad,Nagpur
C00033,Cuddapah,Andhra Pradesh,South,Hyderabad,Nagpur
C00034,Cumbum,Andhra Pradesh,South,Hyderabad,Nagpur
C00035,Darsi,Andhra Pradesh,South,Hyderabad,Nagpur
