order_id,order_date,customer_id,destination_city,warehouse_id,warehouse_code,sku_id,sku_code,product_name,category,order_quantity,priority,order_status
ORD000001,2025-01-13,CUST01127,Devanhalli,WH008,CCU_RDC,SKU0048,APP012,Backpack,Apparel,15,Standard,Pending
ORD000002,2025-02-22,CUST02772,Mawar,WH004,AMD_RDC,SKU0010,ELE010,Hard Drive,Electronics,5,Express,Dispatched
ORD000003,2025-10-30,CUST01729,Mauranwan,WH004,AMD_RDC,SKU0034,GRO010,Noodles,Grocery,12,Standard,Pending
ORD000004,2025-04-22,CUST00953,Umaria District,WH006,HYD_RDC,SKU0055,HEA007,First Aid Kit,Healthcare,3,Standard,Dispatched
ORD000005,2025-10-15,CUST00815,Nizamabad,WH005,BLR_RDC,SKU0017,FMC005,Face Wash,FMCG,2,Express,Dispatched
ORD000006,2025-08-03,CUST00903,Sriramnagar,WH007,MAA_RDC,SKU0020,FMC008,Body Lotion,FMCG,70,Standard,Dispatched
ORD000007,2025-01-04,CUST00654,Sultanpur,WH006,HYD_RDC,SKU0010,ELE010,Hard Drive,Electronics,9,Express,Allocated
ORD000008,2025-05-23,CUST00637,Nathdwara,WH005,BLR_RDC,SKU0047,APP011,Belt,Apparel,11,Standard,Allocated
ORD000009,2025-02-17,CUST01557,Perambalur,WH002,NAG_NH,SKU0048,APP012,Backpack,Apparel,14,Standard,Allocated
ORD000010,2025-11-06,CUST01084,Harnai,WH002,NAG_NH,SKU0010,ELE010,Hard Drive,Electronics,12,Standard,Dispatched
ORD000011,2025-10-02,CUST00512,Bhikhi,WH002,NAG_NH,SKU0047,APP011,Belt,Apparel,15,Standard,Pending
ORD000012,2025-05-31,CUST02575,Puntamba,WH008,CCU_RDC,SKU0066,AUT009,Lubricant,Automotive,18,Standard,Allocated
ORD000013,2025-04-09,CUST02886,Erode,WH001,MUM_NH,SKU0070,HOM004,Electric Kettle,Home & Kitchen,37,Standard,Pending
ORD000014,2025-05-29,CUST00327,Varkala,WH001,MUM_NH,SKU0024,FMC012,Tissue Pack,FMCG,59,Standard,Pending
ORD000015,2025-05-23,CUST01858,Tamenglong,WH004,AMD_RDC,SKU0052,HEA004,Thermometer,Healthcare,25,Express,Allocated
ORD000016,2025-07-09,CUST01456,Chhabra,WH007,MAA_RDC,SKU0063,AUT006,Coolant,Automotive,6,Standard,Dispatched
ORD000017,2025-12-26,CUST02800,Vijayapura,WH003,DEL_RDC,SKU0027,GRO003,Sugar,Grocery,35,Express,Pending
ORD000018,2025-11-22,CUST00701,Chiknayakanhalli,WH003,DEL_RDC,SKU0029,GRO005,Cooking Oil,Grocery,78,Standard,Dispatched
ORD000019,2025-03-25,CUST01894,Nala Sopara,WH002,NAG_NH,SKU0075,HOM009,Dustbin,Home & Kitchen,16,Standard,Allocated
ORD000020,2025-12-19,CUST02282,Daurala,WH008,CCU_RDC,SKU0021,FMC009,Dishwash Liquid,FMCG,82,Standard,Dispatched
ORD000021,2025-01-29,CUST00939,Deoband,WH008,CCU_RDC,SKU0036,GRO012,Oats,Grocery,6,Standard,Allocated
ORD000022,2025-05-18,CUST00272,Periyapattinam,WH004,AMD_RDC,SKU0038,APP002,Jeans,Apparel,26,Standard,Dispatched
ORD000023,2025-04-19,CUST02685,Titagarh,WH005,BLR_RDC,SKU0022,FMC010,Floor Cleaner,FMCG,41,Standard,Allocated
ORD000024,2025-03-15,CUST01085,Dum Duma,WH004,AMD_RDC,SKU0075,HOM009,Dustbin,Home & Kitchen,30,Standard,Pending
ORD000025,2025-10-03,CUST01077,Amarnath,WH007,MAA_RDC,SKU0024,FMC012,Tissue Pack,FMCG,72,Express,Dispatched
