assignment_id,shipment_id,vehicle_id,driver_id,assignment_time,assignment_status
ASN000001,SHP000001,VEH001,DRV001,2025-03-01 16:07:01,Assigned
ASN000002,SHP000002,VEH002,DRV002,2025-04-27 17:17:15,Assigned
ASN000003,SHP000003,VEH003,DRV003,2025-10-07 09:08:47,Assigned
ASN000004,SHP000004,VEH004,DRV004,2025-01-16 07:43:47,Assigned
ASN000005,SHP000005,VEH005,DRV005,2025-11-07 20:34:05,Assigned
ASN000006,SHP000006,VEH006,DRV006,2025-11-29 15:27:02,Assigned
ASN000007,SHP000007,VEH007,DRV007,2025-08-18 06:05:13,Assigned
ASN000008,SHP000008,VEH008,DRV008,2025-12-24 09:32:38,Assigned
ASN000009,SHP000009,VEH009,DRV009,2025-04-23 06:35:12,Assigned
ASN000010,SHP000010,VEH010,DRV010,2025-02-19 17:41:44,Assigned
ASN000011,SHP000011,VEH011,DRV011,2025-01-24 14:26:14,Assigned
ASN000012,SHP000012,VEH012,DRV012,2025-07-13 13:37:17,Assigned
ASN000013,SHP000013,VEH013,DRV013,2025-11-19 18:55:00,Assigned
ASN000014,SHP000014,VEH014,DRV014,2025-12-28 18:51:10,Assigned
ASN000015,SHP000015,VEH015,DRV015,2025-05-30 17:27:21,Assigned
ASN000016,SHP000016,VEH016,DRV016,2025-05-24 10:09:13,Assigned
ASN000017,SHP000017,VEH017,DRV017,2025-07-11 18:21:06,Assigned
ASN000018,SHP000018,VEH018,DRV018,2025-12-26 07:24:06,Assigned
ASN000019,SHP000019,VEH019,DRV019,2025-11-24 11:54:22,Assigned
ASN000020,SHP000020,VEH020,DRV020,2025-03-27 15:16:51,Assigned
ASN000021,SHP000021,VEH021,DRV021,2025-12-19 06:46:29,Assigned
ASN000022,SHP000022,VEH022,DRV022,2025-01-31 14:07:59,Assigned
ASN000023,SHP000023,VEH023,DRV023,2025-05-19 12:05:35,Assigned
ASN000024,SHP000024,VEH024,DRV024,2025-06-11 10:53:40,Assigned
ASN000025,SHP000025,VEH025,DRV025,2025-11-27 15:56:55,Assigned
ASN000026,SHP000026,VEH026,DRV026,2025-05-08 11:36:12,Assigned
ASN000027,SHP000027,VEH027,DRV027,2025-10-28 17:04:02,Assigned
ASN000028,SHP000028,VEH028,DRV028,2025-09-20 16:14:49,Assigned
ASN000029,SHP000029,VEH029,DRV029,2025-03-22 10:05:54,Assigned
ASN000030,SHP000030,VEH030,DRV030,2025-11-04 09:55:06,Assigned
ASN000031,SHP000031,VEH031,DRV031,2025-08-29 12:17:29,Assigned
ASN000032,SHP000032,VEH032,DRV032,2025-01-08 16:53:23,Assigned
ASN000033,SHP000033,VEH033,DRV033,2025-10-03 08:23:22,Assigned
ASN000034,SHP000034,VEH034,DRV034,2025-02-27 09:42:17,Assigned
ASN000035,SHP000035,VEH035,DRV035,2025-01-03 17:59:43,Assigned
ASN000036,SHP000036,VEH036,DRV036,2025-04-04 16:04:38,Assigned
ASN000037,SHP000037,VEH037,DRV037,2025-11-26 16:10:34,Assigned
ASN000038,SHP000038,VEH038,DRV038,2025-07-13 17:15:10,Assigned
ASN000039,SHP000039,VEH039,DRV039,2025-11-04 13:24:17,Assigned
ASN000040,SHP000040,VEH040,DRV040,2025-07-07 20:40:44,Assigned
ASN000041,SHP000041,VEH001,DRV001,2025-10-19 14:14:43,Assigned
ASN000042,SHP000042,VEH002,DRV002,2025-02-07 11:53:49,Assigned
ASN000043,SHP000043,VEH003,DRV003,2025-12-04 18:03:14,Assigned
ASN000044,SHP000044,VEH004,DRV004,2025-09-29 19:02:51,Assigned
ASN000045,SHP000045,VEH005,DRV005,2025-12-20 11:25:17,Assigned
ASN000046,SHP000046,VEH006,DRV006,2025-12-12 07:13:58,Assigned
ASN000047,SHP000047,VEH007,DRV007,2025-08-21 15:56:45,Assigned
ASN000048,SHP000048,VEH008,DRV008,2025-06-24 11:13:41,Assigned
ASN000049,SHP000049,VEH009,DRV009,2025-10-30 13:25:56,Assigned
ASN000050,SHP000050,VEH010,DRV010,2025-11-22 20:41:29,Assigned
ASN000051,SHP000051,VEH011,DRV011,2025-06-21 08:16:08,Assigned
ASN000052,SHP000052,VEH012,DRV012,2025-12-11 09:47:35,Assigned
ASN000053,SHP000053,VEH013,DRV013,2025-10-22 14:16:47,Assigned
ASN000054,SHP000054,VEH014,DRV014,2025-07-29 15:27:57,Assigned
ASN000055,SHP000055,VEH015,DRV015,2025-08-10 15:25:23,Assigned
ASN000056,SHP000056,VEH016,DRV016,2025-01-30 09:08:32,Assigned
ASN000057,SHP000057,VEH017,DRV017,2025-02-01 13:05:48,Assigned
ASN000058,SHP000058,VEH018,DRV018,2025-05-09 06:55:07,Assigned
ASN000059,SHP000059,VEH019,DRV019,2025-03-13 08:40:10,Assigned
ASN000060,SHP000060,VEH020,DRV020,2025-05-08 18:43:27,Assigned
ASN000061,SHP000061,VEH021,DRV021,2025-01-28 15:04:24,Assigned
ASN000062,SHP000062,VEH022,DRV022,2025-05-03 12:38:29,Assigned
ASN000063,SHP000063,VEH023,DRV023,2025-04-20 14:16:35,Assigned
ASN000064,SHP000064,VEH024,DRV024,2025-01-02 19:00:43,Assigned
ASN000065,SHP000065,VEH025,DRV025,2025-08-07 17:07:43,Assigned
ASN000066,SHP000066,VEH026,DRV026,2025-03-23 20:34:48,Assigned
ASN000067,SHP000067,VEH027,DRV027,2025-10-26 10:49:41,Assigned
ASN000068,SHP000068,VEH028,DRV028,2025-02-01 11:07:18,Assigned
ASN000069,SHP000069,VEH029,DRV029,2025-09-29 12:10:29,Assigned
ASN000070,SHP000070,VEH030,DRV030,2025-04-08 06:46:56,Assigned
ASN000071,SHP000071,VEH031,DRV031,2025-05-03 17:16:32,Assigned
ASN000072,SHP000072,VEH032,DRV032,2025-10-25 18:11:32,Assigned
ASN000073,SHP000073,VEH033,DRV033,2025-08-05 20:06:55,Assigned
ASN000074,SHP000074,VEH034,DRV034,2025-06-13 16:19:53,Assigned
ASN000075,SHP000075,VEH035,DRV035,2025-05-03 16:32:38,Assigned
ASN000076,SHP000076,VEH036,DRV036,2025-11-28 09:09:23,Assigned
ASN000077,SHP000077,VEH037,DRV037,2025-02-09 18:10:34,Assigned
