shipment_id,order_id,warehouse_id,warehouse_code,destination_city,sku_id,sku_code,shipment_quantity,dispatch_date,estimated_delivery,shipment_status
SHP000001,ORD000001,WH008,CCU_RDC,Devanhalli,SKU0048,APP012,15,2025-01-15,2025-01-18,Delivered
SHP000002,ORD000002,WH004,AMD_RDC,Mawar,SKU0010,ELE010,5,2025-02-22,2025-02-24,Delivered
SHP000003,ORD000003,WH004,AMD_RDC,Mauranwan,SKU0034,GRO010,12,2025-10-30,2025-11-03,Delivered
SHP000004,ORD000004,WH006,HYD_RDC,Umaria District,SKU0055,HEA007,3,2025-04-22,2025-04-25,Delivered
SHP000005,ORD000005,WH005,BLR_RDC,Nizamabad,SKU0017,FMC005,2,2025-10-17,2025-10-18,Delivered
SHP000006,ORD000006,WH007,MAA_RDC,Sriramnagar,SKU0020,FMC008,70,2025-08-05,2025-08-11,Delivered
SHP000007,ORD000007,WH006,HYD_RDC,Sultanpur,SKU0010,ELE010,9,2025-01-04,2025-01-05,Delivered
SHP000008,ORD000008,WH005,BLR_RDC,Nathdwara,SKU0047,APP011,11,2025-05-23,2025-05-27,Delivered
SHP000009,ORD000009,WH002,NAG_NH,Perambalur,SKU0048,APP012,14,2025-02-17,2025-02-24,Delivered
SHP000010,ORD000010,WH002,NAG_NH,Harnai,SKU0010,ELE010,12,2025-11-08,2025-11-11,Delivered
SHP000011,ORD000011,WH002,NAG_NH,Bhikhi,SKU0047,APP011,15,2025-10-04,2025-10-08,Delivered
SHP000012,ORD000012,WH008,CCU_RDC,Puntamba,SKU0066,AUT009,18,2025-06-02,2025-06-09,Delivered
SHP000013,ORD000013,WH001,MUM_NH,Erode,SKU0070,HOM004,37,2025-04-10,2025-04-14,Delivered
SHP000014,ORD000014,WH001,MUM_NH,Varkala,SKU0024,FMC012,59,2025-05-30,2025-06-06,Delivered
SHP000015,ORD000015,WH004,AMD_RDC,Tamenglong,SKU0052,HEA004,25,2025-05-24,2025-05-25,Delivered
SHP000016,ORD000016,WH007,MAA_RDC,Chhabra,SKU0063,AUT006,6,2025-07-09,2025-07-15,Delivered
SHP000017,ORD000017,WH003,DEL_RDC,Vijayapura,SKU0027,GRO003,35,2025-12-27,2025-12-29,Delivered
SHP000018,ORD000018,WH003,DEL_RDC,Chiknayakanhalli,SKU0029,GRO005,78,2025-11-22,2025-11-26,Delivered
SHP000019,ORD000019,WH002,NAG_NH,Nala Sopara,SKU0075,HOM009,16,2025-03-26,2025-03-29,Delivered
SHP000020,ORD000020,WH008,CCU_RDC,Daurala,SKU0021,FMC009,82,2025-12-19,2025-12-25,Delivered
SHP000021,ORD000021,WH008,CCU_RDC,Deoband,SKU0036,GRO012,6,2025-01-29,2025-02-03,Delivered
SHP000022,ORD000022,WH004,AMD_RDC,Periyapattinam,SKU0038,APP002,26,2025-05-19,2025-05-26,Delivered
SHP000023,ORD000023,WH005,BLR_RDC,Titagarh,SKU0022,FMC010,41,2025-04-20,2025-04-23,Delivered
SHP000024,ORD000024,WH004,AMD_RDC,Dum Duma,SKU0075,HOM009,30,2025-03-17,2025-03-23,Delivered
SHP000025,ORD000025,WH007,MAA_RDC,Amarnath,SKU0024,FMC012,72,2025-10-05,2025-10-06,Delivered
SHP000026,ORD000026,WH004,AMD_RDC,Kunnamangalam,SKU0060,AUT003,7,2025-10-27,2025-10-30,Delivered
SHP000027,ORD000027,WH005,BLR_RDC,Vindhyachal,SKU0018,FMC006,9,2025-09-20,2025-09-25,Delivered
SHP000028,ORD000028,WH007,MAA_RDC,Gawan,SKU0074,HOM008,8,2025-03-22,2025-03-29,Delivered
SHP000029,ORD000029,WH004,AMD_RDC,Halvad,SKU0040,APP004,14,2025-11-03,2025-11-10,Delivered
SHP000030,ORD000030,WH004,AMD_RDC,Mahendragarh,SKU0004,ELE004,20,2025-08-28,2025-08-31,Delivered
SHP000031,ORD000031,WH001,MUM_NH,Atraulia,SKU0012,ELE012,1,2025-12-15,2025-12-19,Delivered
SHP000032,ORD000032,WH007,MAA_RDC,Dhrangadhra,SKU0062,AUT005,18,2025-05-18,2025-05-21,Delivered
SHP000033,ORD000033,WH002,NAG_NH,Bidhuna,SKU0059,AUT002,10,2025-08-11,2025-08-14,Delivered
SHP000034,ORD000034,WH008,CCU_RDC,Dahegam,SKU0056,HEA008,47,2025-05-16,2025-05-18,Delivered
