shipment_id,destination_city,vehicle_type,distance_km,speed_kmph,estimated_hours,estimated_delivery,eta_status
SHP000001,Devanhalli,Medium Truck,180,50,3.6,2025-01-15 03:36,On Time
SHP000002,Mawar,Mini Truck,180,60,3.0,2025-02-22 03:00,On Time
SHP000003,Mauranwan,Mini Truck,900,60,15.0,2025-10-30 15:00,Long Distance
SHP000004,Umaria District,Mini Truck,180,60,3.0,2025-04-22 03:00,On Time
SHP000005,Nizamabad,Mini Truck,900,60,15.0,2025-10-17 15:00,Long Distance
SHP000006,Sriramnagar,Mini Truck,900,60,15.0,2025-08-05 15:00,Long Distance
SHP000007,Sultanpur,Mini Truck,1500,60,25.0,2025-01-05 01:00,Long Distance
SHP000008,Nathdwara,Mini Truck,40,60,0.67,2025-05-23 00:40,On Time
SHP000009,Perambalur,Medium Truck,180,50,3.6,2025-02-17 03:36,On Time
SHP000010,Harnai,Medium Truck,900,50,18.0,2025-11-08 18:00,Long Distance
SHP000011,Bhikhi,Medium Truck,180,50,3.6,2025-10-04 03:36,On Time
SHP000012,Puntamba,Medium Truck,40,50,0.8,2025-06-02 00:48,On Time
SHP000013,Erode,Medium Truck,40,50,0.8,2025-04-10 00:48,On Time
SHP000014,Varkala,Medium Truck,180,50,3.6,2025-05-30 03:36,On Time
SHP000015,Tamenglong,Mini Truck,40,60,0.67,2025-05-24 00:40,On Time
SHP000016,Chhabra,Mini Truck,450,60,7.5,2025-07-09 07:30,In Transit
SHP000017,Vijayapura,Mini Truck,180,60,3.0,2025-12-27 03:00,On Time
SHP000018,Chiknayakanhalli,Mini Truck,900,60,15.0,2025-11-22 15:00,Long Distance
SHP000019,Nala Sopara,Medium Truck,900,50,18.0,2025-03-26 18:00,Long Distance
SHP000020,Daurala,Medium Truck,180,50,3.6,2025-12-19 03:36,On Time
SHP000021,Deoband,Medium Truck,40,50,0.8,2025-01-29 00:48,On Time
SHP000022,Periyapattinam,Mini Truck,900,60,15.0,2025-05-19 15:00,Long Distance
SHP000023,Titagarh,Mini Truck,450,60,7.5,2025-04-20 07:30,In Transit
SHP000024,Dum Duma,Mini Truck,900,60,15.0,2025-03-17 15:00,Long Distance
SHP000025,Amarnath,Mini Truck,450,60,7.5,2025-10-05 07:30,In Transit
SHP000026,Kunnamangalam,Mini Truck,180,60,3.0,2025-10-27 03:00,On Time
SHP000027,Vindhyachal,Mini Truck,180,60,3.0,2025-09-20 03:00,On Time
SHP000028,Gawan,Mini Truck,1500,60,25.0,2025-03-23 01:00,Long Distance
SHP000029,Halvad,Mini Truck,450,60,7.5,2025-11-03 07:30,In Transit
SHP000030,Mahendragarh,Mini Truck,180,60,3.0,2025-08-28 03:00,On Time
SHP000031,Atraulia,Medium Truck,450,50,9.0,2025-12-15 09:00,In Transit
SHP000032,Dhrangadhra,Mini Truck,180,60,3.0,2025-05-18 03:00,On Time
SHP000033,Bidhuna,Medium Truck,180,50,3.6,2025-08-11 03:36,On Time
SHP000034,Dahegam,Medium Truck,450,50,9.0,2025-05-16 09:00,In Transit
SHP000035,Bhainsdehi,Mini Truck,40,60,0.67,2025-02-25 00:40,On Time
SHP000036,Sultanpur,Medium Truck,1500,50,30.0,2025-11-09 06:00,Long Distance
SHP000037,Margherita,Mini Truck,180,60,3.0,2025-03-25 03:00,On Time
SHP000038,Betul Bazar,Medium Truck,900,50,18.0,2025-11-05 18:00,Long Distance
SHP000039,Balarampur,Medium Truck,1500,50,30.0,2025-07-08 06:00,Long Distance
SHP000040,Uchalan,Medium Truck,40,50,0.8,2025-10-20 00:48,On Time
SHP000041,Gudiyatham,Mini Truck,180,60,3.0,2025-02-07 03:00,On Time
SHP000042,Lachhmangarh Sikar,Medium Truck,450,50,9.0,2025-12-04 09:00,In Transit
SHP000043,Dhenkanal,Mini Truck,900,60,15.0,2025-09-29 15:00,Long Distance
SHP000044,Pipraich,Mini Truck,450,60,7.5,2025-06-11 07:30,In Transit
SHP000045,Tulsipur,Medium Truck,180,50,3.6,2025-08-15 03:36,On Time
SHP000046,Kharda,Mini Truck,40,60,0.67,2025-04-26 00:40,On Time
SHP000047,Jamshedpur,Mini Truck,180,60,3.0,2025-10-11 03:00,On Time
SHP000048,Raigarh,Mini Truck,40,60,0.67,2025-02-07 00:40,On Time
SHP000049,Naharlagun,Medium Truck,180,50,3.6,2025-02-04 03:36,On Time
SHP000050,Nuzvid,Medium Truck,450,50,9.0,2025-05-04 09:00,In Transit
SHP000051,Dongargarh,Mini Truck,900,60,15.0,2025-10-04 15:00,Long Distance
SHP000052,Bandia,Mini Truck,40,60,0.67,2025-09-01 00:40,On Time
SHP000053,Osmanabad,Medium Truck,450,50,9.0,2025-02-18 09:00,In Transit
SHP000054,Barhiya,Mini Truck,900,60,15.0,2025-08-05 15:00,Long Distance
SHP000055,Tikri,Medium Truck,180,50,3.6,2025-12-13 03:36,On Time
SHP000056,Rahon,Mini Truck,450,60,7.5,2025-07-28 07:30,In Transit
SHP000057,Surendranagar,Mini Truck,180,60,3.0,2025-04-10 03:00,On Time
SHP000058,Simdega,Medium Truck,900,50,18.0,2025-08-06 18:00,Long Distance
SHP000059,Hasimara,Medium Truck,180,50,3.6,2025-02-08 03:36,On Time
SHP000060,Radhakund,Medium Truck,40,50,0.8,2025-12-02 00:48,On Time
SHP000061,Bundu,Medium Truck,180,50,3.6,2025-05-02 03:36,On Time
SHP000062,Taranagar,Mini Truck,40,60,0.67,2025-04-20 00:40,On Time
SHP000063,Divrasai,Mini Truck,900,60,15.0,2025-01-04 15:00,Long Distance
SHP000064,Malakanagiri,Mini Truck,40,60,0.67,2025-08-07 00:40,On Time
SHP000065,Vriddhachalam,Medium Truck,180,50,3.6,2025-03-23 03:36,On Time
SHP000066,Bettiah,Mini Truck,180,60,3.0,2025-10-25 03:00,On Time
SHP000067,Shikarpur,Mini Truck,40,60,0.67,2025-02-01 00:40,On Time
SHP000068,Jagdishpur,Medium Truck,450,50,9.0,2025-10-01 09:00,In Transit
SHP000069,Lasalgaon,Mini Truck,1500,60,25.0,2025-04-09 01:00,Long Distance
SHP000070,Jangaon,Medium Truck,180,50,3.6,2025-07-28 03:36,On Time
SHP000071,Morigaon,Mini Truck,40,60,0.67,2025-11-03 00:40,On Time
