shipment_id,order_id,warehouse_code,vehicle_id,vehicle_number,vehicle_type,payload_capacity_kg,shipment_quantity,decision_reason
SHP000001,ORD000001,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,15,Upgraded Capacity
SHP000002,ORD000002,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,5,Optimal
SHP000003,ORD000003,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,12,Optimal
SHP000004,ORD000004,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,3,Optimal
SHP000005,ORD000005,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,2,Optimal
SHP000006,ORD000006,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,70,Optimal
SHP000007,ORD000007,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,9,Optimal
SHP000008,ORD000008,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,11,Optimal
SHP000009,ORD000009,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,14,Upgraded Capacity
SHP000010,ORD000010,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,12,Upgraded Capacity
SHP000011,ORD000011,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,15,Upgraded Capacity
SHP000012,ORD000012,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,18,Upgraded Capacity
SHP000013,ORD000013,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,37,Upgraded Capacity
SHP000014,ORD000014,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,59,Upgraded Capacity
SHP000015,ORD000015,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,25,Optimal
SHP000016,ORD000016,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,6,Optimal
SHP000017,ORD000017,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,35,Optimal
SHP000018,ORD000018,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,78,Optimal
SHP000019,ORD000019,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,16,Upgraded Capacity
SHP000020,ORD000020,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,82,Upgraded Capacity
SHP000021,ORD000021,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,6,Upgraded Capacity
SHP000022,ORD000022,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,26,Optimal
SHP000023,ORD000023,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,41,Optimal
SHP000024,ORD000024,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,30,Optimal
SHP000025,ORD000025,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,72,Optimal
SHP000026,ORD000026,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,7,Optimal
SHP000027,ORD000027,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,9,Optimal
SHP000028,ORD000028,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,8,Optimal
SHP000029,ORD000029,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,14,Optimal
SHP000030,ORD000030,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,20,Optimal
SHP000031,ORD000031,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,1,Upgraded Capacity
SHP000032,ORD000032,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,18,Optimal
SHP000033,ORD000033,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,10,Upgraded Capacity
SHP000034,ORD000034,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,47,Upgraded Capacity
SHP000035,ORD000035,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,65,Optimal
SHP000036,ORD000036,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,9,Upgraded Capacity
SHP000037,ORD000037,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,98,Optimal
SHP000038,ORD000038,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,1,Upgraded Capacity
SHP000039,ORD000039,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,8,Upgraded Capacity
SHP000040,ORD000040,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,4,Upgraded Capacity
SHP000041,ORD000041,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,32,Optimal
SHP000042,ORD000042,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,3,Upgraded Capacity
SHP000043,ORD000043,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,9,Optimal
SHP000044,ORD000044,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,7,Optimal
SHP000045,ORD000045,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,24,Upgraded Capacity
SHP000046,ORD000046,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,16,Optimal
SHP000047,ORD000047,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,38,Optimal
SHP000048,ORD000048,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,1,Optimal
SHP000049,ORD000049,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,8,Upgraded Capacity
SHP000050,ORD000050,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,17,Upgraded Capacity
SHP000051,ORD000051,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,14,Optimal
SHP000052,ORD000052,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,37,Optimal
SHP000053,ORD000053,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,2,Upgraded Capacity
SHP000054,ORD000054,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,6,Optimal
SHP000055,ORD000055,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,4,Upgraded Capacity
SHP000056,ORD000056,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,4,Optimal
SHP000057,ORD000057,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,32,Optimal
SHP000058,ORD000058,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,18,Upgraded Capacity
SHP000059,ORD000059,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,16,Upgraded Capacity
SHP000060,ORD000060,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,7,Upgraded Capacity
SHP000061,ORD000061,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,25,Upgraded Capacity
SHP000062,ORD000062,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,16,Optimal
SHP000063,ORD000063,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,13,Optimal
SHP000064,ORD000064,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,19,Optimal
SHP000065,ORD000065,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,63,Upgraded Capacity
SHP000066,ORD000066,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,8,Optimal
SHP000067,ORD000067,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,6,Optimal
SHP000068,ORD000068,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,33,Upgraded Capacity
SHP000069,ORD000069,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,3,Optimal
SHP000070,ORD000070,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,31,Upgraded Capacity
SHP000071,ORD000071,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,75,Optimal
SHP000072,ORD000072,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,14,Upgraded Capacity
SHP000073,ORD000073,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,41,Optimal
SHP000074,ORD000074,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,6,Optimal
SHP000075,ORD000075,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,39,Optimal
SHP000076,ORD000076,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,2,Upgraded Capacity
SHP000077,ORD000077,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,10,Optimal
SHP000078,ORD000078,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,17,Optimal
SHP000079,ORD000079,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,37,Optimal
SHP000080,ORD000080,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,39,Upgraded Capacity
SHP000081,ORD000081,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,22,Optimal
SHP000082,ORD000082,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,121,Optimal
SHP000083,ORD000083,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,24,Upgraded Capacity
SHP000084,ORD000084,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,14,Optimal
SHP000085,ORD000085,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,28,Optimal
SHP000086,ORD000086,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,4,Upgraded Capacity
SHP000087,ORD000087,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,2,Optimal
SHP000088,ORD000088,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,21,Optimal
SHP000089,ORD000089,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,55,Optimal
SHP000090,ORD000090,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,23,Upgraded Capacity
SHP000091,ORD000091,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,19,Optimal
SHP000092,ORD000092,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,3,Optimal
SHP000093,ORD000093,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,14,Optimal
SHP000094,ORD000094,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,6,Optimal
SHP000095,ORD000095,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,10,Optimal
SHP000096,ORD000096,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,2,Optimal
SHP000097,ORD000097,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,7,Optimal
SHP000098,ORD000098,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,14,Upgraded Capacity
SHP000099,ORD000099,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,4,Upgraded Capacity
SHP000100,ORD000100,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,29,Upgraded Capacity
SHP000101,ORD000101,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,43,Upgraded Capacity
SHP000102,ORD000102,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,23,Upgraded Capacity
SHP000103,ORD000103,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,35,Upgraded Capacity
SHP000104,ORD000104,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,6,Optimal
SHP000105,ORD000105,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,56,Optimal
SHP000106,ORD000106,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,39,Upgraded Capacity
SHP000107,ORD000107,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,25,Optimal
SHP000108,ORD000108,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,1,Optimal
SHP000109,ORD000109,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,61,Upgraded Capacity
SHP000110,ORD000110,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,5,Upgraded Capacity
SHP000111,ORD000111,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,85,Upgraded Capacity
SHP000112,ORD000112,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,20,Optimal
SHP000113,ORD000113,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,6,Upgraded Capacity
SHP000114,ORD000114,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,27,Optimal
SHP000115,ORD000115,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,6,Optimal
SHP000116,ORD000116,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,36,Optimal
SHP000117,ORD000117,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,56,Optimal
SHP000118,ORD000118,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,30,Optimal
SHP000119,ORD000119,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,66,Optimal
SHP000120,ORD000120,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,37,Upgraded Capacity
SHP000121,ORD000121,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,6,Optimal
SHP000122,ORD000122,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,8,Upgraded Capacity
SHP000123,ORD000123,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,8,Optimal
SHP000124,ORD000124,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,8,Optimal
SHP000125,ORD000125,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,13,Upgraded Capacity
SHP000126,ORD000126,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,1,Optimal
SHP000127,ORD000127,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,133,Upgraded Capacity
SHP000128,ORD000128,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,8,Optimal
SHP000129,ORD000129,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,5,Optimal
SHP000130,ORD000130,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,110,Upgraded Capacity
SHP000131,ORD000131,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,61,Upgraded Capacity
SHP000132,ORD000132,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,41,Upgraded Capacity
SHP000133,ORD000133,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,16,Optimal
SHP000134,ORD000134,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,37,Optimal
