order_id,destination_city,original_warehouse,recommended_warehouse,decision_reason
ORD000001,Devanhalli,CCU_RDC,CCU_RDC,Optimal
ORD000002,Mawar,AMD_RDC,AMD_RDC,Optimal
ORD000003,Mauranwan,AMD_RDC,AMD_RDC,Optimal
ORD000004,Umaria District,HYD_RDC,HYD_RDC,Optimal
ORD000005,Nizamabad,BLR_RDC,BLR_RDC,Optimal
ORD000006,Sriramnagar,MAA_RDC,MAA_RDC,Optimal
ORD000007,Sultanpur,HYD_RDC,HYD_RDC,Optimal
ORD000008,Nathdwara,BLR_RDC,BLR_RDC,Optimal
ORD000009,Perambalur,NAG_NH,NAG_NH,Optimal
ORD000010,Harnai,NAG_NH,NAG_NH,Optimal
ORD000011,Bhikhi,NAG_NH,NAG_NH,Optimal
ORD000012,Puntamba,CCU_RDC,CCU_RDC,Optimal
ORD000013,Erode,MUM_NH,MUM_NH,Optimal
ORD000014,Varkala,MUM_NH,MUM_NH,Optimal
ORD000015,Tamenglong,AMD_RDC,AMD_RDC,Optimal
ORD000016,Chhabra,MAA_RDC,MAA_RDC,Optimal
ORD000017,Vijayapura,DEL_RDC,DEL_RDC,Optimal
ORD000018,Chiknayakanhalli,DEL_RDC,DEL_RDC,Optimal
ORD000019,Nala Sopara,NAG_NH,NAG_NH,Optimal
ORD000020,Daurala,CCU_RDC,CCU_RDC,Optimal
ORD000021,Deoband,CCU_RDC,NAG_NH,Low Inventory
ORD000022,Periyapattinam,AMD_RDC,AMD_RDC,Optimal
ORD000023,Titagarh,BLR_RDC,BLR_RDC,Optimal
ORD000024,Dum Duma,AMD_RDC,AMD_RDC,Optimal
ORD000025,Amarnath,MAA_RDC,MAA_RDC,Optimal
ORD000026,Kunnamangalam,AMD_RDC,AMD_RDC,Optimal
ORD000027,Vindhyachal,BLR_RDC,BLR_RDC,Optimal
ORD000028,Gawan,MAA_RDC,MAA_RDC,Optimal
ORD000029,Halvad,AMD_RDC,AMD_RDC,Optimal
ORD000030,Mahendragarh,AMD_RDC,AMD_RDC,Optimal
ORD000031,Atraulia,MUM_NH,MUM_NH,Optimal
ORD000032,Dhrangadhra,MAA_RDC,MAA_RDC,Optimal
ORD000033,Bidhuna,NAG_NH,NAG_NH,Optimal
ORD000034,Dahegam,CCU_RDC,CCU_RDC,Optimal
ORD000035,Bhainsdehi,BLR_RDC,BLR_RDC,Optimal
ORD000036,Sultanpur,CCU_RDC,CCU_RDC,Optimal
ORD000037,Margherita,DEL_RDC,DEL_RDC,Optimal
ORD000038,Betul Bazar,MUM_NH,MUM_NH,Optimal
ORD000039,Balarampur,MUM_NH,MUM_NH,Optimal
ORD000040,Uchalan,NAG_NH,NAG_NH,Optimal
ORD000041,Gudiyatham,BLR_RDC,BLR_RDC,Optimal
ORD000042,Lachhmangarh Sikar,CCU_RDC,CCU_RDC,Optimal
ORD000043,Dhenkanal,BLR_RDC,BLR_RDC,Optimal
ORD000044,Pipraich,DEL_RDC,DEL_RDC,Optimal
ORD000045,Tulsipur,CCU_RDC,CCU_RDC,Optimal
ORD000046,Kharda,AMD_RDC,AMD_RDC,Optimal
ORD000047,Jamshedpur,DEL_RDC,DEL_RDC,Optimal
ORD000048,Raigarh,HYD_RDC,HYD_RDC,Optimal
ORD000049,Naharlagun,MUM_NH,MUM_NH,Optimal
ORD000050,Nuzvid,MUM_NH,MUM_NH,Optimal
ORD000051,Dongargarh,AMD_RDC,AMD_RDC,Optimal
ORD000052,Bandia,DEL_RDC,DEL_RDC,Optimal
ORD000053,Osmanabad,BLR_RDC,NAG_NH,Low Inventory
ORD000054,Barhiya,HYD_RDC,HYD_RDC,Optimal
ORD000055,Tikri,CCU_RDC,CCU_RDC,Optimal
ORD000056,Rahon,AMD_RDC,AMD_RDC,Optimal
ORD000057,Surendranagar,HYD_RDC,HYD_RDC,Optimal
ORD000058,Simdega,MUM_NH,MUM_NH,Optimal
ORD000059,Hasimara,CCU_RDC,CCU_RDC,Optimal
ORD000060,Radhakund,MUM_NH,MUM_NH,Optimal
ORD000061,Bundu,CCU_RDC,CCU_RDC,Optimal
ORD000062,Taranagar,DEL_RDC,DEL_RDC,Optimal
ORD000063,Divrasai,AMD_RDC,AMD_RDC,Optimal
ORD000064,Malakanagiri,BLR_RDC,BLR_RDC,Optimal
ORD000065,Vriddhachalam,MUM_NH,MUM_NH,Optimal
ORD000066,Bettiah,DEL_RDC,DEL_RDC,Optimal
ORD000067,Shikarpur,MAA_RDC,MAA_RDC,Optimal
ORD000068,Jagdishpur,NAG_NH,NAG_NH,Optimal
ORD000069,Lasalgaon,HYD_RDC,HYD_RDC,Optimal
ORD000070,Jangaon,MUM_NH,MUM_NH,Optimal
ORD000071,Morigaon,AMD_RDC,AMD_RDC,Optimal
ORD000072,Itanagar,NAG_NH,NAG_NH,Optimal
ORD000073,Rajmahal,AMD_RDC,AMD_RDC,Optimal
