disruption_id,shipment_id,order_id,event_type,affected_resource,warehouse_code,severity,priority,event_time,impact,status
DIS000001,SHP000002,ORD000002,Weather Delay,Mawar,AMD_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000002,SHP000004,ORD000004,Weather Delay,Umaria District,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000003,SHP000021,ORD000021,Vehicle Breakdown,VEH008,NAG_NH,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000004,SHP000025,ORD000025,Weather Delay,Amarnath,MAA_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000005,SHP000054,ORD000054,Weather Delay,Barhiya,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000006,SHP000059,ORD000059,Vehicle Breakdown,VEH036,CCU_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000007,SHP000065,ORD000065,Weather Delay,Vriddhachalam,MUM_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000008,SHP000074,ORD000074,Inventory Shortage,MAA_RDC,MAA_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000009,SHP000079,ORD000079,Weather Delay,Bawali,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000010,SHP000097,ORD000097,Driver Absence,DRV029,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000011,SHP000099,ORD000099,Inventory Shortage,NAG_NH,NAG_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000012,SHP000101,ORD000101,Weather Delay,Kharar,NAG_NH,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000013,SHP000104,ORD000104,Inventory Shortage,HYD_RDC,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000014,SHP000106,ORD000106,Inventory Shortage,NAG_NH,NAG_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000015,SHP000109,ORD000109,Inventory Shortage,CCU_RDC,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000016,SHP000118,ORD000118,Weather Delay,Kanchrapara,AMD_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000017,SHP000120,ORD000120,Inventory Shortage,NAG_NH,NAG_NH,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000018,SHP000137,ORD000137,Weather Delay,Masinigudi,MUM_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000019,SHP000192,ORD000192,Driver Absence,DRV029,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000020,SHP000203,ORD000203,Inventory Shortage,HYD_RDC,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000021,SHP000206,ORD000206,Driver Absence,DRV001,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000022,SHP000207,ORD000207,Inventory Shortage,DEL_RDC,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000023,SHP000207,ORD000207,Weather Delay,Lalitpur,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000024,SHP000227,ORD000227,Inventory Shortage,DEL_RDC,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000025,SHP000228,ORD000228,Weather Delay,Kandukur,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000026,SHP000234,ORD000234,Inventory Shortage,MAA_RDC,MAA_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000027,SHP000235,ORD000235,Weather Delay,Thasra,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000028,SHP000238,ORD000238,Vehicle Breakdown,VEH014,DEL_RDC,High,Express,2026-07-05 23:54:03,Vehicle Unavailable,Active
