shipment_id,order_id,warehouse_code,warehouse_city,destination_city,destination_state,destination_region,nearest_warehouse,backup_warehouse,distance_km,distance_category,coverage_status,route_priority
SHP000001,ORD000001,CCU_RDC,kolkata,devanhalli,Karnataka,South,Bengaluru,Hyderabad,1607.63,Long Distance,Secondary,Low
SHP000002,ORD000002,AMD_RDC,ahmedabad,mawar,Uttar Pradesh,North,New Delhi,Nagpur,909.86,Long Distance,Secondary,Low
SHP000003,ORD000003,AMD_RDC,ahmedabad,mauranwan,Uttar Pradesh,North,New Delhi,Nagpur,1013.02,Long Distance,Secondary,Low
SHP000004,ORD000004,HYD_RDC,hyderabad,umaria district,Madhya Pradesh,Central,Nagpur,Mumbai,776.85,Long Distance,Secondary,Low
SHP000005,ORD000005,BLR_RDC,bengaluru,nizamabad,Telangana,South,Hyderabad,Nagpur,672.98,Long Distance,Secondary,Low
SHP000006,ORD000006,MAA_RDC,chennai,sriramnagar,Telangana,South,Hyderabad,Nagpur,532.11,Long Distance,Secondary,Low
SHP000007,ORD000007,HYD_RDC,hyderabad,sultanpur,Madhya Pradesh,Central,Nagpur,Mumbai,685.62,Long Distance,Secondary,Low
SHP000008,ORD000008,BLR_RDC,bengaluru,nathdwara,Rajasthan,West,Ahmedabad,Mumbai,1472.67,Long Distance,Secondary,Low
SHP000009,ORD000009,NAG_NH,nagpur,perambalur,Tamil Nadu,South,Chennai,Bengaluru,1146.61,Long Distance,Secondary,Low
SHP000010,ORD000010,NAG_NH,nagpur,harnai,Maharashtra,West,Mumbai,Nagpur,774.14,Long Distance,Secondary,Low
SHP000011,ORD000011,NAG_NH,nagpur,bhikhi,Punjab,North,New Delhi,Nagpur,1170.55,Long Distance,Secondary,Low
SHP000012,ORD000012,CCU_RDC,kolkata,puntamba,Maharashtra,West,Mumbai,Nagpur,1561.53,Long Distance,Secondary,Low
SHP000013,ORD000013,MUM_NH,mumbai,erode,Tamil Nadu,South,Chennai,Bengaluru,1033.0,Long Distance,Secondary,Low
SHP000014,ORD000014,MUM_NH,mumbai,varkala,Kerala,South,Chennai,Bengaluru,1261.91,Long Distance,Secondary,Low
