shipment_id,vehicle_id,distance_km,fuel_efficiency_kmpl,fuel_consumption_l,co2_emission_kg,carbon_intensity,estimated_delivery,eta_status,sustainability_score,green_shipment,sustainability_category
SHP000001,VEH036,1607.63,8,200.95,538.55,0.335,2025-01-15 03:36,On Time,50,No,Poor
SHP000002,VEH018,909.86,12,75.82,203.2,0.223,2025-02-22 03:00,On Time,50,No,Poor
SHP000003,VEH018,1013.02,12,84.42,226.25,0.223,2025-10-30 15:00,Long Distance,50,No,Poor
SHP000004,VEH029,776.85,12,64.74,173.5,0.223,2025-04-22 03:00,On Time,70,Yes,Average
SHP000005,VEH023,672.98,12,56.08,150.29,0.223,2025-10-17 15:00,Long Distance,70,Yes,Average
SHP000006,VEH034,532.11,12,44.34,118.83,0.223,2025-08-05 15:00,Long Distance,70,Yes,Average
SHP000007,VEH029,685.62,12,57.14,153.14,0.223,2025-01-05 01:00,Long Distance,70,Yes,Average
SHP000008,VEH023,1472.67,12,122.72,328.89,0.223,2025-05-23 00:40,On Time,50,No,Poor
SHP000009,VEH008,1146.61,8,143.33,384.12,0.335,2025-02-17 03:36,On Time,50,No,Poor
SHP000010,VEH008,774.14,8,96.77,259.34,0.335,2025-11-08 18:00,Long Distance,50,No,Poor
SHP000011,VEH008,1170.55,8,146.32,392.14,0.335,2025-10-04 03:36,On Time,50,No,Poor
SHP000012,VEH036,1561.53,8,195.19,523.11,0.335,2025-06-02 00:48,On Time,50,No,Poor
SHP000013,VEH003,1033.0,8,129.12,346.04,0.335,2025-04-10 00:48,On Time,50,No,Poor
SHP000014,VEH003,1261.91,8,157.74,422.74,0.335,2025-05-30 03:36,On Time,50,No,Poor
SHP000015,VEH018,2341.82,12,195.15,523.0,0.223,2025-05-24 00:40,On Time,50,No,Poor
SHP000016,VEH034,1417.39,12,118.12,316.56,0.223,2025-07-09 07:30,In Transit,50,No,Poor
SHP000017,VEH014,1438.81,12,119.9,321.33,0.223,2025-12-27 03:00,On Time,50,No,Poor
SHP000018,VEH014,1823.3,12,151.94,407.2,0.223,2025-11-22 15:00,Long Distance,50,No,Poor
SHP000019,VEH008,722.62,8,90.33,242.08,0.335,2025-03-26 18:00,Long Distance,50,No,Poor
SHP000020,VEH036,1436.25,8,179.53,481.14,0.335,2025-12-19 03:36,On Time,50,No,Poor
SHP000021,VEH008,1066.61,8,133.33,357.32,0.335,2025-01-29 00:48,On Time,50,No,Poor
SHP000022,VEH018,1746.14,12,145.51,389.97,0.223,2025-05-19 15:00,Long Distance,50,No,Poor
